"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Catabolism of glucuronate to xylulose-5-phosphate Homo sapiens R-HSA-5661270",0.00263991552270327,0.0366599589567851,0.85485699838819,1.76829156284895,4,4,"AKR1A1;SORD"
"2","SUMO is conjugated to E1 (UBA2:SAE1) Homo sapiens R-HSA-3065676",0.0010989010989011,0.0340543666859456,0.80881120555489,1.87298304262684,1,5,"SAE1;SUMO1;SUMO2;SUMO3;UBA2"
"3","HSF1 activation Homo sapiens R-HSA-3371511",0.000892060660124889,0.0340543666859456,0.619567980062186,2.49289130381557,0,20,"EEF1A1;FKBP4;HSF1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPH1;PTGES3;RPA2;UBB;VCP;YWHAE"
"4","Attenuation phase Homo sapiens R-HSA-3371568",0.00169348010160881,0.0340543666859456,0.573825746766096,2.21838133342181,1,18,"FKBP4;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA8;UBB"
"5","Cellular response to heat stress Homo sapiens R-HSA-3371556",0.00279329608938547,0.0380715911442168,0.304123968542809,1.81315475954294,0,71,"AKT1S1;DNAJC2;DNAJC7;EEF1A1;FKBP4;HSF1;HSP90AA1;HSP90AB1;HSPA14;HSPA1A;HSPA1B;HSPA5;HSPA8;HSPA9;HSPH1;NUP188;NUP37;NUP98;POM121;PTGES3;RAE1;RPA2;ST13;TPR;UBB;VCP;YWHAE"
"6","Cleavage of Growing Transcript in the Termination Region Homo sapiens R-HSA-109688",0.00196463654223969,0.0340543666859456,0.346613328539869,1.94300720837846,0,56,"CHTOP;CPSF1;CPSF7;CSTF2;DDX39B;EIF4A3;FYTTD1;MAGOH;NCBP2;NUDT21;PABPN1;PAPOLA;RBM8A;SARNP;SLBP;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;THOC3;U2AF1;U2AF2"
"7","RNA Polymerase II Transcription Termination Homo sapiens R-HSA-73856",0.00196463654223969,0.0340543666859456,0.346613328539869,1.94300720837846,0,56,"CHTOP;CPSF1;CPSF7;CSTF2;DDX39B;EIF4A3;FYTTD1;MAGOH;NCBP2;NUDT21;PABPN1;PAPOLA;RBM8A;SARNP;SLBP;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;THOC3;U2AF1;U2AF2"
"8","Post-Elongation Processing of the Transcript Homo sapiens R-HSA-76044",0.00196463654223969,0.0340543666859456,0.346613328539869,1.94300720837846,0,56,"CHTOP;CPSF1;CPSF7;CSTF2;DDX39B;EIF4A3;FYTTD1;MAGOH;NCBP2;NUDT21;PABPN1;PAPOLA;RBM8A;SARNP;SLBP;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;THOC3;U2AF1;U2AF2"
"9","mRNA Splicing - Minor Pathway Homo sapiens R-HSA-72165",0.00164744645799012,0.0340543666859456,0.495618938383404,2.68359879207532,0,49,"EFTUD2;GTF2F1;GTF2F2;LSM2;NCBP1;NCBP2;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;RNPC3;RNU12;SF3B1;SF3B2;SF3B3;SF3B4;SF3B5;SF3B6;SNRNP40;SNRNP48;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF1;SRSF2;SRSF6;SRSF7;TXNL4A;YBX1;ZMAT5"
"10","Telomere Extension By Telomerase Homo sapiens R-HSA-171319",0.000527983104540655,0.0340543666859456,0.940627244433804,1.94570930957373,0,4,"DKC1;NHP2;RUVBL1;RUVBL2"
"11","rRNA modification in the nucleus Homo sapiens R-HSA-6790901",0.00294117647058824,0.0397193739881274,0.359384656180895,1.87115460925228,1,43,"BMS1;DCAF13;DKC1;EMG1;FBL;FCF1;GAR1;IMP3;IMP4;KRR1;MPHOSPH10;NHP2;NOL11;NOP10;NOP14;NOP2;NOP56;NOP58;RCL1;RRP7A;RRP9;THUMPD1;TRMT112;UTP14A;WDR43;WDR75"
