"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Salivary secretion","5/78",6.81581323361613e-06,0.00206519140978569,0,0,18.8536953242836,224.288559011765,"SLC12A2;ITPR1;ATP1A1;BEST2;ATP1B1"
"KEGG_2019_Mouse.2","Arginine and proline metabolism","4/50",2.50137999051039e-05,0.00378959068562324,0,0,23.5294117647059,249.319597392607,"CKMT1;AOC1;ALDH2;ALDH1B1"
"KEGG_2019_Mouse.3","Pancreatic secretion","5/105",2.90453770719685e-05,0.00293358308426882,0,0,14.0056022408964,146.311641796462,"PLA2G2F;SLC12A2;ITPR1;ATP1A1;ATP1B1"
"KEGG_2019_Mouse.4","Histidine metabolism","3/24",7.22870869644882e-05,0.00547574683755998,0,0,36.7647058823529,350.546509128129,"AOC1;ALDH1B1;ALDH2"
"KEGG_2019_Mouse.5","Thyroid hormone synthesis","4/73",0.000111476099875852,0.00675545165247662,0,0,16.116035455278,146.68332539774,"TTR;ITPR1;ATP1A1;ATP1B1"
"KEGG_2019_Mouse.6","Aldosterone-regulated sodium reabsorption","3/38",0.000291207153215425,0.0147059612373789,0,0,23.2198142414861,189.043552879181,"HSD11B2;ATP1A1;ATP1B1"
"KEGG_2019_Mouse.7","Glycosphingolipid biosynthesis","3/45",0.000481575605645574,0.0208453440729441,0,0,19.6078431372549,149.773476823173,"HEXB;ST3GAL6;ST6GALNAC4"
"KEGG_2019_Mouse.8","Tryptophan metabolism","3/48",0.000582727318677566,0.0220707971949128,0,0,18.3823529411765,136.907926507244,"AOC1;ALDH1B1;ALDH2"
"KEGG_2019_Mouse.9","Fatty acid degradation","3/50",0.000657155534456632,0.0221242363267066,0,0,17.6470588235294,129.310408820542,"ADH1;ALDH2;ALDH1B1"
"KEGG_2019_Mouse.10","Glycolysis / Gluconeogenesis","3/67",0.00154134461264645,0.0467027417631874,0,0,13.1694468832309,85.2734870730486,"ADH1;ALDH2;ALDH1B1"
"BioPlanet_2019.1","Salivary secretion","5/89",1.30200314695198e-05,0.0196602475189749,0,0,16.5234633179114,185.872794186599,"SLC12A2;ITPR1;ATP1A1;BEST2;ATP1B1"
"BioPlanet_2019.2","Pancreatic secretion","5/101",2.40769140452043e-05,0.0181780701041292,0,0,14.5602795573675,154.837756260994,"PLA2G2F;SLC12A2;ITPR1;ATP1A1;ATP1B1"
